id,ca,de,en,es,fr,pl,pt
MODEL_SELECTOR_CUSTOM_LABEL,Introdueix el nom del model de huggingface.com. El nom distingeix entre MaJúsCuLEs i mInÚScUleS.,Geben Sie den Namen des Modells von huggingface.com ein. Beim Namen muss die GrOß- UnD KleInScHrEiBuNg beachtet werden.,Enter the name of the model from huggingface.com. The name is CasEsenSitivE!,Introduce el nombre del modelo de huggingface.com. El nombre distingue entre MaYúsCuLAs y mInÚScUlaS.,Entrez le nom du modèle dans huggingface.com. Le nom est SeNsIbLeÀlACaSsE,Wpisz nazwę modelu ze strony huggingface.com. Nazwa to CasEsenSitivE!,Insira o nome do modelo do huggingface.com. O nome é SeNsíVeL!
MODEL_SELECTOR_GPT2_HINT,"El model funciona millor si es fa servir per al que va ser creat, que és la generació de textos a partir d'una entrada.","Dieses Modell ist gut dafür geeignet wozu es trainiert wurde, nämlich Texte aus einer Eingabeaufforderung zu generieren.","The model is best at what it was pretrained for, which is generating texts from a prompt.","El modelo funciona mejor si se usa para lo que fue creado, que es la generación de textos a partir de una entrada.","Le modèle est le meilleur à ce pour quoi il a été conçu, génèrer des textes à partir d'une entrée.","Model jest najlepszy do tego, do czego został wytrenowany, czyli do generowania tekstu z podpowiedzi.","O modelo é melhor para o que foi treinado, que é gerar textos a partir de um prompt."
MODEL_SELECTOR_GPT2_LARGE_HINT,Idèntic al gpt2-mitjà però més poderós.,"Wie gpt2-medium, nur leistungsfähiger.",Same than gpt2-medium but more powerful.,Idéntico al gpt2-medio pero más poderoso.,Identique à gpt2-medium mais plus puissant.,Podobny do gpt2-medium ale bardziej potężny.,Igual a gpt2-medium porém mais poderoso.
MODEL_SELECTOR_GPT2_MEDIUM_HINT,Idèntic al gpt2 però més poderós.,"Wie wie gpt2, nur leistungsfähiger.",Same than gpt2 but more powerful.,Idéntico al gpt2 pero más poderoso.,Identique à gpt2 mais plus puissant.,Podobny do gpt2 ale bardziej potężny.,Igual a gpt2 porém mais poderoso.
MODEL_SELECTOR_GPT2_XL_HINT,Idèntic al gpt2-gran però més poderós.,"Gleich wie gpt2-large, aber leistungsfähiger.",Same than gpt2-large but more powerful.,Idéntico al gpt2-grande pero más poderoso.,Identique à gpt2-large mais plus puissant.,Podobny do gpt2-large ale bardziej potężny.,Igual a gpt2-large porém mais poderoso.
MODEL_SELECTOR_GPT_J_6B_ADVENTURE_HINT,Un híbrid destinat a crear una experiència impulsada per la història equilibrada.,"Ein Hybrid, der darauf abzielt, eine ausgewogene Story-getriebene Erfahrung zu schaffen.",A hybrid aimed to create a balanced story driven experience.,Un híbrido destinado a crear una experiencia impulsada por la historia equilibrada.,Un hybride visant à créer une expérience équilibrée axée sur l'histoires.,Hybryda stworzona w celu doświadczenia przygody kierowanej wydarzeniami.,Um híbrido com objetivo de criar uma história balançeada.
MODEL_SELECTOR_GPT_J_6B_SKEIN_HINT,"Si vols jugar com a AI Dungeon, aquest és el que has de triar. Funciona molt bé amb 0.5 d'aleatorietat.","Wenn Sie wie AI Dungeon spielen möchten, ist dies die richtige Wahl.
Dieses Modell funktioniert hervorragend, wenn die Zufälligkeit auf 0,5 eingestellt ist.",If you wish to play like AI Dungeon this is the one to pick.It works great with the randomness set to 0.5 .,"Si quieres jugar como en AI Dungeon, éste es el que debes elegir. Funciona muy bien con la aleatoriedad en 0.5.","Si vous souhaitez jouer comme AI Dungeon, c'est celui à choisir.
Il fonctionne très bien avec l'aléatoire fixé à 0,5 .",Jeśli chcesz grać podobnie do AI Dungeon jest to opcja dla ciebie. Działa świetnie z losowością ustawioną na 0.5 .,Se você deseja jogar parecido com AI Dungeon essa é a escolha. Funciona bem com a randomização em 0.5.
MODEL_SELECTOR_GPT_NEO_125_HINT,Semblant al gpt2. El primer model compatible amb Aidventure.,Ähnlich gpt2.,Similar to gpt2. First model supported by AIdventure.,Parecido al gpt2. El primer modelo compatible con Aidventure.,Similaire à gpt2. Premier modèle supporté par AIdventure.,Podobny do gpt2. Pierwszy model wspierany przez Aidventure,Similar ao gpt-2. Primeiro modelo suportado por AIdventure.
MODEL_SELECTOR_GPT_NEO_13B_HINT,Idèntic al gpt-neo-125M però més poderós.,"Wie gpt-neo-125M, nur leistungsfähiger.",Same than gpt-neo-125M but more powerful.,Idéntico al gpt-neo-125M pero más poderoso.,Identique à gpt-neo-125M mais plus puissant.,Podobny do gpt-neo-125M ale bardziej potężny.,Igual a gpt-neo-125M porem mais poderoso.
MODEL_SELECTOR_GPT_NEO_27B_HINT,Idèntic al gpt-neo-1.3B però més poderós.,"Wie EleutherAI/gpt-neo-1.3B, nur leistungsfähiger.",Same than EleutherAI/gpt-neo-1.3B but more powerful.,Idéntico al gpt-neo-1.3B pero más poderoso.,Identique à gpt-neo-1.3B mais plus puissant.,Podobny do EleutherAI/gpt-neo-1.3B ale bardziej potężny.,Igual a EleutherAI/gpt-neo-1.3B porem mais poderoso.
MODEL_SELECTOR_HORNI_HINT,"Podeu seguir usant-se per a històries SFW, però tendirà a crear contingut NSFW.","Kann für SFW-Geschichten verwendet werden, aber neigt eher dazu NSFW-Geschichten zu generieren.",Can still be used for SFW stories but will have a bias towards NSFW content.,"Puede seguir usándose para historias SFW, pero tenderá a crear contenido NSFW.","Peut toujours être utilisé pour les histoires SFW, mais aura tendance a créer du contenu NSFW.","Wciąż może być używany do historii SFW (Bezpieczny Do Pracy), lecz będzie miał skłonność do NSFW (Nie Bezpieczny Do Pracy)",Ainda pode ser usado para história SFW mas terá um bias para conteúdo NSFW.
MODEL_SELECTOR_HORNI_LN_HINT,"Aquest model és semblant al Horni, però més SFW.
És un bon model per escriure novel·les, sobretot si vols afegir un cert contingut eròtic.","Dieses Modell ist Horni sehr ähnlich, aber eher SFW.
Dies ist ein gutes Modell zum Schreiben von Romanen, besonders wenn sie Erotik beinhalten sollen.","This model is much like the Horni, but more likely to go SFW.
This is a good model for Novel writing especially if you want to add erotica to the mix.","Este modelo es parecido al Horni, pero más SFW.
Es un buen modelo para escribir novelas, sobre todo si quieres añadir cierto contenido erótico.","Ce modèle ressemble beaucoup au modèle Horni, mais il est plus susceptible d'être SFW.
C'est un bon modèle pour l'écriture de roman surtout si vous voulez ajouter l'érotisme au mélange.","Ten model jest prawie identyczny do Horni, ale bardziej skierowany na SFW (Bezpieczny Do Pracy).
Jest to dobry model do pisania powieści, szczególnie jeśli chcesz dodać do niej elementy erotyczne.","Esse modelo é parecido com Horni, porém com tendência a SFW.
Esse é um bom modelo para escrever novelas onde você quer adicionar erótica no mix."
MODEL_SELECTOR_INSTRUCTION,"Escull un model pel teu joc.
Els models grans poden trigar a carregar. Si és la primera vegada que selecciones un model, el baixarà.","Wählen Sie ein Modell für Ihr Spiel aus.
Das Laden großer Modelle kann einige Zeit in Anspruch nehmen. ","Choose a model for your game.
Big models might take some time to load. If you are selecting a model for the first time it will download it.","Escoge un modelo para tu juego.
Los modelos grandes pueden tardar en cargar. Si es la primera vez que seleccionas un modelo, lo descargará.","Choisissez un modèle pour votre jeu.
Les gros modèles peuvent prendre du temps à charger. Si vous sélectionnez un modèle pour la première fois, il sera téléchargé.","Wybierz model dla swojej gry.
Dużym modelom wczytanie może zająć trochę czasu. Jeśli wybierasz model po raz pierwszy, zostanie on pobrany.","Escolha um modelo para seu jogo.
Modelos grandes podem demorar um tempo para carregar. Se estiver selecionando um modelo pela primeira vez ele será baixado."
MODEL_SELECTOR_NSFW_DISCLAIMER,"** La IA no hauria de generar contingut NSFW per si mateixa, però podria fer-ho si les entrades ho són.","** Die KI sollte keine NSFW-Inhalte selbst generieren, aber sie könnte es trotzdem tun, wenn Sie ihr NSFW-Eingaben geben.","** The AI shouldn't generate NSFW content by itself, but it might still do if you give it NSFW inputs.","** La IA no debería generar contenido NSFW por sí misma, pero podría hacerlo si tus entradas lo son.","** L'IA ne devrait pas générer de contenu NSFW par elle-même, mais elle pourrait tout de même le faire si vous lui donnez des entrées NSFW.","** AI nie powinno samo w sobie generować zawartośći NSFW (Nie Bezpieczny Do Pracy), lecz może to zrobić dzięki dawanym przez ciebie informacji na wejściu.","** A IA não deve gerar conteúdo NSFW por si próprio, mas pode gerar se você escrever coisas NSFW."
MODEL_SELECTOR_PICARD_HINT,"Es centra en l'escriptura estil Novel·la sense contingut NSFW.
Aquest model està dissenyat per a molts gèneres.","konzentriert sich auf das Schreiben im Romanstil ohne NSFW.
Dieses Modell ist für eine Vielzahl von Genres konzipiert","It is focused on Novel style writing without NSFW.
This model is designed for a variety of genre's","Se centra en la escritura estilo Novela sin contenido NSFW.
Este modelo está diseñado para multitud de géneros.","Il est axé sur l'écriture de sans NSFW.
Ce modèle est conçu pour une variété de genres.","Jest skupiony na stylu pisania powieści bez zawartości NSFW (Nie Bezpieczny Do Pracy).
Ten model jest przeznaczony do wielu kategorii.",É focado em um tipo de escrita sem NSFW. Esse modelo é feito para uma variedade de gêneros
MODEL_SELECTOR_RAM_DISCLAIMER,* La RAM requerida per la IA. En necessitaràs una mica més.,* Der von der KI benötigte Arbeitsspeicher.,* The RAM required by the AI itself. You will need a bit more.,* La RAM requerida por la IA. Necesitarás un poco más.,* La RAM requise par l'IA elle-même. Il vous en faudra un peu plus.,* RAM wymagany TYLKO przez AI. Ty będziesz potrzebował więcej.,* A RAM é requerida pela IA. Você precisará de um pouco mais.
MODEL_SELECTOR_SHINEN_HINT,"Comparat amb el GPT-Neo-2.7-Horni, aquest model utilitza molt més contingut sexual.",Im Vergleich zu GPT-Neo-2.7-Horni ist dieses Modell viel stärker auf sexuelle Inhalte ausgelegt.,"Compared to GPT-Neo-2.7-Horni, this model is much heavier on the sexual content.","Comparado con el GPT-Neo-2.7-Horni, este modelo usa mucho más contenido sexual.","Comparé au GPT-Neo-2.7-Horni, ce modèle est beaucoup plus sexuel.",W porównaniu z GPT-Neo-2.7-Horni ten model jest intensywniejszy w generowaniu zawartości seksualnych.,"Comparado ao GPT-Neo-2.7-Horni, esse modelo é mais pesado em conteúdo sexual."
NAME,Nom,Name,Name,Nombre,Nom,Nazwa,Nome
NB_BEAMS_HINT,"Si és superior a 1, executa una “beam search” per tenir un text més net.
Un 1 vol dir que no hi haurà cerca.","Wenn größer als 1, wird eine Strahlensuche für saubereren Text ausgeführt.
1 bedeutet keine Strahlensuche.","If greater than 1, executes beam search for cleaner text.
1 means no beam search.","Si es superior a 1, ejecuta una búsqueda de haz para tener un texto más limpio.
1 significa que no habrá búsqueda.","S'il est supérieur à 1, exécute la recherche de faisceau pour un texte plus propre.
1 signifie pas de recherche de faisceau.","Jeśli większy niż 1, przeprowadza wyszukanie promienia dla czystszego tekstu.
1 znaczy brak wyszukiwania promienia.","Se maior que 1,  executa uma busca por texto mais limpo. 1 significa sem busca."
NGRAM_SIZE_HINT,"Longitud del token per evitar la repetició de les frases.
Posar a 0 per deshabilitar-ho","Token-Länge, um die Wiederholung bestimmter Sätze zu vermeiden.
Auf 0 setzen, um sie zu deaktivieren.","Token length to avoid repeating given phrases.
Set to 0 to disable it.","Longitud del token para evitar la repetición de las frases.
Poner a 0 para deshabilitarlo","S'il est supérieur à 1, exécute la recherche de faisceau pour un texte plus propre.
1 signifie pas de recherche de faisceau.","Długość tokena w celu uniknięcia powtarzania się podanych fraz.
Ustaw na 0 aby wyłączyć.",Tamanho do token para impedir repetição de certas frases. Coloque em 0 para desabilitar.
NO,No,Nein,No,No,Non,Nie,Não
NORMAL_FAIL_PREFIX,falla,scheitern bei,fail to,falla,échoues à,nie udało się,falhou em
NORMAL_SUCCESS_PREFIX,aconsegueix,schaffen es zu,succeed to,logra,réussis à,udało się,sucedeu em
OK,D’acord,OK,Ok,Vale,Ok,Ok,Ok
OPEN...,Obrir…,Öffnen...,Open...,Abrir…,Ouvrir...,Otwórz…,Abrir…
OPTIONS_ADVANCED_OPTION_DISCLAIMER,"Només es recomana editar les opcions avançades si saps què estàs fent.
Si “espatlles” la generació, prem el botó “reiniciar”.","Es wird empfohlen, die erweiterten Optionen nur zu bearbeiten, wenn Sie wissen, was Sie tun.
Falls es bei der Generation fehler gibt, drücken Sie einfach die Schaltfläche ""Zurücksetzen"".","It is recommended to only edit the advanced options if you know what you are doing.
If you happen to ""break"" the generation, just press the ""reset"" button.","Solo se recomienda editar las opciones avanzadas si sabes lo que estás haciendo.
Si “rompes” la generación, pulsa el botón “reiniciar”. ","Il est recommandé de ne modifier les options avancées que si vous savez ce que vous faites.
Si vous arrivez à ""casser"" la génération, appuyez simplement sur le bouton ""réinitialiser"".","Zaleca się aby edytować zaawansowane opcje tylko jeśli wiesz co robisz.
Jeśli zdarzy ci się „zniszczyć” generację, wcisnij po prostu przycisk „reset”","É recomendado editar as opções avançadas apenas se souber o que está fazendo.
Se você acabar quebrando a geração, aperte no botão de reset."
OPTIONS_AI_TAB,Opcions de la IA,KI-Optionen,AI Options,Opciones de la IA,Options de l'IA,Opcje AI,Opções de IA
OPTIONS_AUTO_TRANSLATION_TAB,Traducció,Übersetzungen,Translation,Traducción,Traduction,Tłumaczenie,Traduções
OPTIONS_CONFIRM_RESET,Segur que vols reiniciar les opcions?,Möchten Sie die Optionen wirklich zurücksetzen?,Are you sure you want to reset the options?,¿Seguro que quieres reiniciar las opciones?,Êtes-vous sûr de vouloir réinitialiser les options ?,"Jesteś pewny, że chcesz zresetować ustawienia?",Você tem certeza que quer resetar as opções?
OPTIONS_DISPLAY,Mostrar,Anzeige,Display,Mostrar,Affichage,Pokaż,Tela
OPTIONS_FONT_HINT,"Pots afegir diferents tipus de lletra a la llista.
- Crea una carpeta “fonts” a la carpeta del joc
- Baixa lletres d’internet (https://www.dafont.com/)
- Fica l’arxiu “.ttf” a la carpeta “fonts”
- Recarrega","Sie können der Liste benutzerdefinierte Schriftarten hinzufügen.
- Im Aidventure-Ordner einen Unterordner erstellen
- Den neuen Ordner in „fonts“ umbenennen
- Schriftarten können online heruntergeladen werden ( z.b. https://www.dafont.com/)
- Die „ttf“-Dateien in den „fonts“ Ordner kopieren
- Neu laden","You can add custom fonts to the list.
- Create a ""fonts"" folder in the game folder
- Download fonts online (https://www.dafont.com/)
- Add the "".ttf"" file in the fonts folder
- Reload.","Puedes añadir distintos tipos de letra a la lista.
- Crea una carpeta “fonts” en la carpeta del juego
- Descarga letras de internet (https://www.dafont.com/)
- Mete el archivo “.ttf” en la carpeta “fonts”
- Recarga","Vous pouvez ajouter des polices personnalisées à la liste.
- Créer un dossier ""fonts"" dans le dossier du jeu
- Télécharger des polices en ligne (https://www.dafont.com/)
- Ajouter le fichier "".ttf"" dans le dossier fonts
- Recharger.","Możesz dodać własne czcionki do listy.
-Stwórz folder o nazwie „fonts” w folderze gry
-Pobierz czcionki z internetu (https://www.dafont.com/)
-Dodaj plik o rozszerzeniu „ttf” w folderze fonts
-Uruchom grę ponownie","Você poded adicionar fontes customizadas a lista.
- Criar uma pasta “fonts” na pasta do jogo
- Baixar fontes online (https://www.dafont.com/)
- Adicionar o arquivo “.ttf” na pasta fontes
- Reiniciar o jogo"
OPTIONS_HIDE_TOP_BAR,Amagar el menú superior,Obere Menüleiste ausblenden,Hide the top bar menu,Ocultar el menú superior,Cacher le menu supérieur,Schowaj górne meny,Esconder o menu do topo
OPTIONS_HIDE_TOP_BAR_HINT,"Amagarà el menú superior del joc.
Podràs seguir accedint al menú prement la tecla ESC.","Blendet die obere Leiste aus.
Das Menü kann immer noch mit der ESC-Taste aufgerufen werden.","It will hide the top bar in the game.
You can still access the menu by pressing the ESC key.","Ocultará el menú superior del juego.
Podrás seguir accediento al menú pulsando la tecla ESC.","Va masquer la barre supérieure dans le jeu.
Vous pouvez toujours accéder au menu en appuyant sur la touche ECHAP.","Ukryje górne menu podczas gry.
Wciąż możesz z niego skorzystać wciskając klawisz ESC.","Esconderá o menu do topo no jogo.
Você ainda poderá acessar apertando ESC."
OPTIONS_LINE_SEPARATION_HINT,L'espai entre dues línies.,Der Abstand zwischen zwei Zeilen.,The space left between two lines.,El espacio entre dos líneas.,L'espace entre deux lignes,Przestrzeń pomiędzy dwoma liniami.,O espaço restante entre duas linhas.
OPTIONS_POV,El punt de vista de la història.,Perspektive der Geschichte,Story's point of view,El punto de vista de la historia.,Point de vue de l'histoire,historyczny punkt widzenia,Ponto de vista da história
OPTIONS_POV_HINT,Farà servir “Tu” o “Jo” per a les entrades.,"Die KI wird ""Du"" oder ""Ich"" in Ihren Eingaben verwenden","It will use ""You"" or ""I"" in your inputs",Usará “Tú” o “Yo” para las entradas.,"Va utiliser ""Tu"" ou ""Je"" pour les actions",Będzie używało „Ty” lub „Ja” w twoich wejściach,Usara “Você” ou “Eu” em seus inputs
OPTIONS_PREFERENCES_TAB,Preferències,Einstellungen,Preferences,Preferencias,Préférences,Preferencje,Preferências
OPTIONS_RELOAD_LABEL,Hauràs de tornar al menú principal per aplicar la modificació.,"Bitte kehren Sie zum Hauptmenü zurück, um die Änderungen zu übernehmen",You will need to return to the main menu to apply the modification.,Deberás volver al menú principal para aplicar la modificación.,Vous devrez revenir au menu principal pour appliquer la modification.,Będziesz musiał wrócić do menu aby zastosować modyfikacje,Você precisará retornar ao menu principal para aplicar as modificações.
OPTIONS_REMOTE_SERVER,Connectar-se a un servidor remot,Mit einem Remote-Server verbinden,Connect to a remote server,Conectarse a un servidor remoto,Se connecter à un serveur distant,Połącz do zdalnego serwera,Conectar ao servidor remoto
OPTIONS_SERVER_DISCLAIMER,"Si no saps què estàs fent, no canviïs res d'aquí.","Wenn Sie nicht wissen, was das ist, ändern Sie nichts.","If you don't know what you are doing, don't change anything here.","Si no sabes lo que estás haciendo, no cambies nada de aquí.","Si vous ne savez pas ce que vous faites, ne changez rien ici.","Jeśli nie wiesz co robisz, nic to nie zmieniaj.","Se você não sabe o que está fazendo, não mude nada aqui."
OPTIONS_SERVER_SECURITY_DISCLAIMER,"Ara com ara la comunicació amb el servidor no és segura.
Fes servir això només per a xarxes locals.",Momentan ist die Kommunikation mit Remote-Servern nicht sicher und ist daher nur in lokalen Netzen zu verwenden.,For now the communication with the server isn't secure. Use this for local networks only.,"Por ahora la comunicación con el servidor no es segura.
Usa esto solo para redes locales.","Pour l’instant, la communication avec le serveur n’est pas sécurisée. Utilisez-la uniquement pour les réseaux locaux.",Na obecny moment komunikacja z serwerem nie jest bezpieczna. Używaj tylko w sieci domowej.,Por enquanto a comunicação com o servidor não é segura. Use isso apenas para redes locais.
OPTIONS_SERVER_TAB,Servidor.,Server,Server,Servidor.,Serveur,Serwer,Servidor
OPTIONS_STORY_READER,Preferències del lector de la història:,Story Reader Einstellungen,Story reader preferences:,Preferencias del lector de la historia:,Préférences du lecteur d'histoire,Preferencje czytnika historii:,Preferências de leitura da história
OVERWRITE_FILE_DIALOG,"Ja existeix un arxiu amb aquest nom.
Si cliques a ""D'acord"", sobreescriuràs l'antic.
No hi ha marxa enrere.","Eine Datei mit diesem Namen existiert bereits.
Mit dem Klicken auf „OK“ wird diese Datei überschrieben.
Dies kann nicht rückgängig gemacht werden.","A file already has this name.
If you click ""OK"" you will overwrite the old one.
There is no going back.","Ya existe un archivo con este nombre.
Si haces clic en ""Aceptar"", sobrescribirás el antiguo.
No hay vuelta atrás.","Un fichier a déjà ce nom.
Si vous cliquez sur ""OK"" vous écraserez l'ancien.
Il n'y a pas de retour en arrière.","Istnieje już plik o takiej nazwie.
Jeśli naciśniesz „OK” nadpiszesz poprzedni.
Nie ma powrotu.","Um arquivo já tem esse nome.
Se você clicar em “OK” você irá sobrescrever o antigo.
Não terá volta."
PLAY,Jugar,Spielen,Play,Jugar,Jouer,Zagraj,Jogar
PLEASE_WAIT,"Espera, si us plau…",Bitte warten.,Please wait,"Espera, por favor…",Veuillez patienter,Proszę poczekać,Por favor aguarde
PREVIEW_IMAGE,,Vorschaubild,Preview image,,Image de présentation,Podgląd obrazka,
PRIVATE,,Privat,Private,,Privée,Prywatne,
PUBLIC,,Öffentlich,Public,,Publique,Publiczne,
RANDOMNESS,Aleatorietat,Zufälligkeit,Randomness,Aleatoriedad,Aléatoire,Losowość,Aleatoriedade
RANDOMNESS_HINT,"Fa que el text generat sigui més o menys coherent.
Normalment anomenat “Temperatura”, 0 significa que no hi ha aleatorietat.","Macht generierten Text mehr oder weniger zufällig.
Gewöhnlich als ""Temperatur"" bezeichnet, bedeutet 0 keine Zufälligkeit.","Make the generated text more or less coherent.
Commonly named ""Temperature"", 0 means no randomness.","Hace que el texto generado sea más o menos coherente.
Llamado comúnmente “Temperatura”, 0 significa que no hay aleatoriedad.","Rends plus ou moins cohérent le texte généré.
Aussi appelée ""Température"", 0 signifie pas d'aléatoire","Zrób wygenerowany tekst mniej lub bardziej spójny.
Powszechnie nazywana „Temperatura”, 0 oznacza brak losowości.","Faz o texto gerado ser mais ou menos coerente.
Comumente chamado de “Temperatura”, 0 significa sem aleatoriedade."
READ_TOS,,Lesen Sie die Nutzungsbedingungen!,Read the terms of use,,Lire les conditions d'utilisation,Przeczytaj warunki użytkowania,
REMOVE_UNFINISHED_SENTENCES,Esborra les frases incompletes.,unvollendete Sätze entfernen,Remove unfinished sentences,Borra las frases incompletas.,Supprimer les phrases incomplètes,Zlikwiduj niedokończone zdania,Remover sentenças inacabadas
REMOVE_UNFINISHED_SENTENCES_HINT,"Esborra l'última frase si la IA no l'ha acabat.
Podria esborrar el text sencer si la “longitud màxima” és massa curta!","Löscht den letzten Satz, wenn die KI ihn nicht beendet hat.
Es könnte die gesamte Ausgabe löschen, wenn ""Maximal generierte länge"" zu klein ist!","Delete the last sentence if the AI didn't finish it.
It might delete the whole output if ""max length"" is too small!","Borra la última frase si la IA no la ha terminado.
¡Podría borrar el texto entero si la “longitud máxima” es demasiado corta!","Supprimez la dernière phrase si l'IA ne l'a pas terminée.
Il pourrait supprimer toute la sortie si ""longueur max"" est trop petite!","Usuń ostatnie zdanie jeśli AI go nie dokończyło.
Może to usunąć całe wyjście jeśli „maksymalna wielkość” jest zbyt mała!","Deleta a última sentença se a IA não tiver terminado.
Pode deletar a sentença inteira se “tamanho máximo” for pequeno demais!"
RENAME,Reanomenar,Umbenennen,Rename,Renombrar,Renommer,Zmień nazwę,Renomear
REPETITION_PENALTY,Penalització per repetició,Wiederholungsstrafe,Repetition penalty,Penalización por repetición,Pénalité de répétition,Kara za powtarzalność,Punição por repetição
REPETITION_PENALTY_HINT,"Si és superior a 1.0, penalitza la repetició en un text per evitar bucles infinits.
Un 1 vol dir que no hi ha penalització.","Wenn größer als 1,0, werden Wiederholungen in einem Text bestraft, um Endlosschleifen zu vermeiden.
1 bedeutet keine Strafe.","If greater than 1.0, penalizes repetition in a text to avoid infinite loops.
1 means no penalty.","Si es superior a 1.0, penaliza la repetición en un texto para evitar bucles infinitos.
1 significa que no hay penalización.","S'il est supérieur à 1,0, pénalise la répétition dans un texte pour éviter les boucles infinies.
1 signifie pas de pénalité.","Jeśli większe od 1.0, kara za powtarzalność tekstu aby unikać nieskończonych pętli.
1 oznacza brak kar","Se maior que 1.0, penaliza a repetição no texto para impedir loop infinito.
1 significa sem penalidade."
REROLL,Tornar a llançar,Neu würfeln,Reroll,Volver a lanzar,Relancer,Rzuć ponownie,Rolar novamente
RESET_TO_DEFAULT,Restablir els valors per defecte,Auf Standard zurücksetzen,Reset to default,Restablecer los valores por defecto,Réinitialiser par défaut,Zresetuj do domyślnych,Resetar para padrão
RESIZER_HINT,Mantingues el clic esquerre per redimensionar.,Linke Maustaste zur Größenänderung gedrückt halten.,Hold left click to resize.,Mantén el clic izquierdo para redimensionar.,Maintenir click gauche pour redimensionner.,Przytrzymaj lewy przycisk myszy aby zmienić rozmiar,Segure o botão esquerdo para redimensionar.
RESUME,Continuar,Fortsetzen,Resume,Continuar,Continuer,Wznów,Resumir
ROLL_THE_DICE,Llançar el dau!,Würfeln!,Roll the dice!,¡Lanzar el dado!,Lancer les dès!,Rzuć kością!,Rodar o dado!
SAFE_FOR_WORK,SFW**,Safe for work**,Safe for work**,SFW**,Safe for work**,Bezpieczne Do Pracy**,Safe for work**
SAVE,Desar,Speichern,Save,Guardar,Sauvegarder,Zapisz,Salvar
SAVE_AS,Desar com…,Speichern als...,Save as...,Guardar como…,Sauvegarder sous...,Zapisz jako…,Salvar como…
SAVE_DIALOG_PLACEHOLDER,La meva súper història,Meine Superstory,My super story,Mi superhistoria,Ma super histoire,Moja wspaniała historia,Minha super história
SAVE_DIALOG_TEXT,Anomena la teva història :,Benennen Sie Ihre Geschichte:,Name your story :,Nombra tu historia :,Nommez votre histoire :,Nazwij swoją historię:,Nomeie sua história:
SAY_PREFIX,digues,sagen,say,di,dis,mów,dizer
SCENARIO_EDITOR_AUTHOR_FIELD,Autor,Autor,Author,Autor,Auteur,Autor,Autor
SCENARIO_EDITOR_CATEGORY_FIELD,Categoria,Kategorie,Category,Categoría,Catégorie,Kategoria,Categoria
SCENARIO_EDITOR_MEMORY_FIELD,Memòria,Speicher,Memory,Memoria,Mémoire,Pamięć,Memória
SCENARIO_EDITOR_MEMORY_HINT,"La memòria té un límit per defecte. Recomano deixar-lo curt (màx. 400 caràcters).
Però això és només una recomanació. Ets lliure d'experimentar.","Der Speicher hat eine Standardgrenze. Ich würde dazu raten sie kurz zu lassen (Maximal 400 Zeichen).
Das ist aber nur eine Empfehlung, Sie können auch damit experimentieren.","The memory has a default limit. I recommend to keep it short (max 400 characters).
This is only a recommendation though. Feel free to experiment.","La memoria tiene un límite por defecto. Recomiendo dejarlo en corto (máx. 400 caracteres).
Pero esto es solo una recomendación. Siéntete libre de experimentar.","La mémoire a une limite par défaut. Je recommande de la garder courte (maximum de 400 caractères).
Ceci n'est qu'une recommandation.N'hésitez pas à expérimenter.","Pamięć posiada domyślny limit. Zaleca się aby był krótki (maksymalnie 400 liter)
Jest to tylko rekomendacja. Jeśli chcesz możesz śmiało eksperymentować.","A memória tem um limite padrão. É recomendado mantê-la curta (máximo 400 caracteres).
Isso é apenas uma recomendação então sinta-se livre para experimentar."
SCENARIO_EDITOR_OPEN,Obrir un escenari,Ein Szenario öffnen,Open a scenario,Abrir un escenario,Ouvrir un scénario,Otwórz scenariusz,Abrir um cenário
SCENARIO_EDITOR_SCENARIO_FIELD,Escenari,Szenario,Scenario,Escenario,Scénario,Scenariusz,Cenário
SCENARIO_EDITOR_SCENARIO_HINT,La introducció a la teva història. Pots detallar-la tant com vulguis.,"Die Einführung Ihrer Geschichte. Sie kann so Detailreich sein, wie Sie wollen.",The introduction to your story. You can detail as much as you want.,La introducción a tu historia. Puedes detallarla tanto como quieras.,L'introduction de votre histoire. Vous pouvez la détailler comme vous le souhaitez.,Instrukcja dla twojej historii. Możesz zamieścić tyle detali ile chcesz.,A introdução da sua história. Você pode detalhar o quanto quiser.
SCENARIO_EDITOR_TITLE,Editor d'Escenaris,Szenario-Editor,Scenario Editor,Editor de Escenarios,Éditeur de Scénario,Edytor scenariusza,Editor de cenário
SECOND_PERSON_PRONOUN,Tu,du,You,Tú,Tu,Ty,Você
SELECTION_COLOR,Color de la selecció,Auswahlfarbe,Selection color,Color de la selección,Couleur de la sélection,Kolor wyboru,Cor de seleção
SELECT_LANGUAGE,,Sprache auswählen,Select a language,,Sélectionnez une langue,Wybierz język,
SERVER_IP,IP del servidor,IP des Servers,Server's IP,IP del servidor,IP du serveur,IP serwera,IP do Servidor
SERVER_PORT,Port del servidor,Port des Servers,Server's port,Puerto del servidor,Port du serveur,Port serwera,Port do Servidor
SHARE,,Teilen,Share,,Partager,Udostępnij,
SHARE_CONTENT,,Inhalt teilen,Share content,,Partager du contenu,Udostępnij zawartość,
SIZE,Mida,Größe,Size,Tamaño,Taille,Rozmiar,Tamanho
SKIP,Ometre,überspringen,Skip,Omitir,Ignorer,Pomiń,Pular
